college_name,state,stream,affiliation,website,placement_officer_name,placement_email,placement_phone,backup_emails_found,backup_phones_found,fallback_contact_email,fallback_contact_phone,confidence_score,source_urls,email_verified,last_scraped,status,outreach_status
Dr. B. R. Ambedkar University - [BRAU],Andhra Pradesh,BCA,Andhra University,http://www.brau.edu.in,,info@brau.edu.in,,"examsectiondrbrau@gmail.com, examsectiondrbrau@gmail.com",,info@brau.edu.in,+91-8942240900,0,,0,,Needs Follow-up,New
Dr. N.G.P. Arts and Science College,Tamil Nadu,BCA,,https://www.drngpasc.ac.in/,,placement@drngpasc.ac.in,+91-4222369321,"roweena@drngpasc.ac.in, manjula@drngpasc.ac.in, ngeetha@drngpasc.ac.in, devipriya@drngpasc.ac.in, shenbagarajan.p@drngpasc.ac.in, sudha.s@drngpasc.ac.in, prasanth.s@drngpasc.ac.in, poornadivya.r@drngpasc.ac.in, jothi.g@drngpasc.ac.in, sowmiya.t@drngpasc.ac.in, eunicerenita@drngpasc.ac.in, madhudharani.r@drngpasc.ac.in, kuzhalvizhi.m@drngpasc.ac.in, mahalakshmi.p@drngpasc.ac.in, sangavi.n@drngpasc.ac.in, drngparts@kmch.ac.in, info@kmch.ac.in, mohan@drngpasc.ac.in, drsudha@drngpasc.ac.in, deanresearch@drngpasc.ac.in, dean.bas.bs@drngpasc.ac.in, deancomputerscience@drngpasc.ac.in, deancommerce@drngpasc.ac.in, meatrust@dataone.in",+91-9442853333,,,100,"https://www.drngpasc.ac.in/placement.php, https://www.drngpasc.ac.in/best-arts-college-with-the-best-placement-in-coimbatore-tamilnadu, https://www.drngpasc.ac.in/about-dr-ngp-arts-and-science-college-coimbatore, https://www.drngpasc.ac.in/, https://www.drngpasc.ac.in/best-research-colleges-in-coimbatore-tamilnadu, https://www.drngpasc.ac.in/dr-ngp-arts-and-science-college-scholarship, https://www.drngpasc.ac.in/sitemap.php, https://www.drngpasc.ac.in/dr-ngp-arts-and-science-college-courses",0,2026-08-02T15:07:11+00:00,Verified,New
Dr. RVR NRI Institute of Technology (NRI Deemed University),Andhra Pradesh,Engineering,"Various Deemed Universities (GITAM, KLEF, VFSTR, Vignan, Amrita)",https://rvrnriuniversity.edu.in/placements/,,info@rvrnriuniversity.edu.in,,,+91-9247598461,info@rvrnriuniversity.edu.in,+91-9640334422,0,,0,,Needs Follow-up,New
"Dr. RVR NRI Institute of Technology – Deemed to be University, Agiripalli Krishna",Andhra Pradesh,Engineering,,https://rvrnriuniversity.edu.in/about-the-university,,,+91-9640334422,"hr@nriit.edu.in, info@rvrnriuniversity.edu.in",+91-9247598461,hr@nriit.edu.in,,90,"https://rvrnriuniversity.edu.in/placements/, https://rvrnriuniversity.edu.in/career/, https://rvrnriuniversity.edu.in/about-the-university/, https://rvrnriuniversity.edu.in/advisory-committee/, https://rvrnriuniversity.edu.in/executive-council/, https://rvrnriuniversity.edu.in/ombudsperson/, https://rvrnriuniversity.edu.in/leadership/, https://rvrnriuniversity.edu.in/school-of-engineering/",0,2026-08-02T12:15:17+00:00,Needs Follow-up,New
"Dr. SNS Rajalakshmi College of Arts and Science, SNS Group of Institutions",Tamil Nadu,BCA,,https://drsnsrcas.ac.in/,,,,"office@drsnsrcas.ac.in, job@snsgroups.com","+91-2108504389, +91-9566423456, +91-9003655855, +91-7550316701",office@drsnsrcas.ac.in,+91-2108504389,65,"https://drsnsrcas.ac.in/about.html, https://drsnsrcas.ac.in/, https://drsnsrcas.ac.in/index.html, https://drsnsrcas.ac.in/success.html, https://drsnsrcas.ac.in/facilities.html, https://drsnsrcas.ac.in/innovation.html, https://drsnsrcas.ac.in/placement",0,2026-08-02T14:15:59+00:00,Needs Follow-up,New
"Dr. Sri Sri Sri Shivakumara Mahaswamiji College of Engineering, Bangalore",Karnataka,Engineering,VTU,https://drsmce.org/about-placement-cell,,principaldrsmce@gmail.com,,,+91-9845583294,principaldrsmce@gmail.com,+91-9886758331,0,,0,,Needs Follow-up,New
"Dravidian University College of Engineering and Technology, Kuppam",Andhra Pradesh,Engineering,,https://dravidianuniversity.ac.in/,,,,,+91-2108504389,,+91-2108504389,100,https://dravidianuniversity.ac.in/sitemap,0,2026-08-02T12:55:10+00:00,Needs Follow-up,New
E.G.S Pillay Engineering College,Tamil Nadu,Engineering,Anna University,https://egspec.org/index.php,,placement@egspec.org,,,"+91-4356251114, +91-7373067032, +91-8680954537",placement@egspec.org,+91-9363087377,0,,0,,Needs Follow-up,New
EAST WEST SCHOOL OF BUSINESS MANAGEMENT,Karnataka,BCA,Bangalore University,https://ewsbm.edu.in,,principalewsbm@gmail.com,,,,principalewsbm@gmail.com,+91-9880622638,0,,0,,Needs Follow-up,New
"East Point College of Engineering and Technology, Bangalore",Karnataka,Engineering,VTU,http://www.eastpoint.ac.in/,,admissions@eastpoint.ac.in,,,"+91-8028472999, +91-8025073904",admissions@eastpoint.ac.in,+91-7204229999,0,,0,,Needs Follow-up,New
"East Point College of Engineering for Women, Bangalore",Karnataka,Engineering,VTU,http://www.eastpoint.ac.in/,,admissions@eastpoint.ac.in,,,"+91-8028472999, +91-8025073904",admissions@eastpoint.ac.in,+91-7204229999,0,,0,,Needs Follow-up,New
"East West Institute of Technology, Bangalore",Karnataka,Engineering,VTU,http://www.ewit.edu.in/,,8904118555rajendra.bn@ewit.edu.in,,"principal@ewit.edu.in, admissions@ewgi.edu.in, info@ewit.edu.in, 31555admissions@ewgi.edu.in, 6732info@ewit.edu.in, emailadmissions@ewgi.edu.in","+91-7090627777, +91-7338648555",8904118555rajendra.bn@ewit.edu.in,+91-7090427777,0,,0,,Needs Follow-up,New
"Easwari Engineering College, Chennai",Tamil Nadu,Engineering,,https://srmeaswari.ac.in/,,,,,,helpdesk@eec.srmrmp.edu.in,+91-9750880442,100,,0,2026-08-02T11:07:20+00:00,Failed,New
Ebenezer Group of Institutions,Karnataka,BCA,Bangalore University,http://www.ebenezercollege.edu.in/,,ebenezercorindians@gmail.com,,hr@ebenezercollege.edu.in,,ebenezercorindians@gmail.com,+91-8050024004,0,,0,,Needs Follow-up,New
Erode Sengunthar Engineering College,Tamil Nadu,Engineering,Anna University,https://erode-sengunthar.ac.in/tap-vision-and-mission/tap-placement-coordinators,,jameer@hit.edu.in,,"placement@esec.ac.in, tpo1@esec.ac.in, placement@esec.ac.in, tpo1@esec.ac.in",+91-9842674222,jameer@hit.edu.in,+91-9442132706,0,,0,,Needs Follow-up,New
FBS Business School Vijayawada,Andhra Pradesh,BCA,Krishna University,https://fbsbschool.com/,,info@fbsbschool.com,,,,info@fbsbschool.com,+91-9052775779,0,,0,,Needs Follow-up,New
FX School,Andhra Pradesh,Engineering,,http://www.fxschool.ac.in/,,,,"info@fxschool.ac.in, info@fxschool.ac.inwww.fxschool.ac.in","+91-8012551452, +91-4622502282",info@fxschool.ac.in,+91-8012551452,100,"http://www.fxschool.ac.in/, http://www.fxschool.ac.in/contact, http://www.fxschool.ac.in/aboutus",0,2026-08-02T11:36:11+00:00,Needs Follow-up,New
"Faculty of Engineering and Technology, Jain University, Bangalore",Karnataka,Engineering,,https://set.jainuniversity.ac.in/,,placements@jainuniversity.ac.in,+91-9900385871,"s.chaithra@jainuniversity.ac.in, senthil.nk@jainuniversity.ac.inr.preeti, ks.kiran@jainuniversity.ac.in, senthil.nk@jainuniversity.ac.in, r.preeti@jainuniversity.ac.in, int.sfs@jgi.ac.in, admin.fet@jainuniversity.ac.in, admission.set@jainuniversity.ac.in, admissions.intl@jainuniversity.ac.in, shine.jainuniveristy@gmail.com, kushalpawan99@gmail.com","+91-7337618222, +91-7337619222, +91-8069279444, +91-8046501767, +91-9606045274, +91-8073506716, +91-8027577200, +91-9342345677, +91-8095210201",,,95,"https://set.jainuniversity.ac.in/placements/, https://set.jainuniversity.ac.in/key-contacts, https://set.jainuniversity.ac.in/contacts/, https://set.jainuniversity.ac.in/about-best-faculty-of-engineering-and-technology, https://set.jainuniversity.ac.in/, https://set.jainuniversity.ac.in/btech-admissions-in-bangalore, https://set.jainuniversity.ac.in/alumni/, https://set.jainuniversity.ac.in/news/alumni-association-inaugurated-to-strengthen-industry-mentorship-and-institutional-engagement",0,2026-08-03T09:39:15+00:00,Verified,New
Fathima Michael College of Engineering and Technology,Tamil Nadu,Engineering,Anna University,http://www.fmcet.ac.in,,principal@fmcet.ac.in,,"mr@fmcet.ac.in, placements@fmcet.ac.in, mr@fmcet.ac.in, placements@fmcet.ac.in",+91-9942982321,principal@fmcet.ac.in,+91-9942982322,0,,0,,Needs Follow-up,New
Fergusson College,Andhra Pradesh,Engineering,,https://www.fergusson.edu/,,,,"contact@fergusson.edu, principal@fergusson.edu",+91-2067656000,contact@fergusson.edu,+91-2067656000,100,"https://www.fergusson.edu/, https://fergusson.edu/ps0-cos-peo-po, https://fergusson.edu/iqac-quality-policy, https://fergusson.edu/hostel-admissions-2024-25, https://fergusson.edu/nirf, https://fergusson.edu/institutional-bodies, https://fergusson.edu/idole-indienne-2026-singing-contest, https://fergusson.edu/national-service-scheme-nss",0,2026-08-03T09:56:44+00:00,Needs Follow-up,New
"G M Institute of Technology, Davanagere",Karnataka,Engineering,VTU,http://www.gmit.ac.in,,info@gmit.ac.in,,,"+91-8192296035, +91-8192233345",info@gmit.ac.in,+91-6364259993,0,,0,,Needs Follow-up,New
G Pullaiah College of Engineering and Technology Kurnool,Andhra Pradesh,Engineering,,https://www.gpcet.ac.in/,,,,,,placementofficer@gpcet.ac.in,+91-8639756663,65,"https://www.gpcet.ac.in/, https://www.gpcet.ac.in/rti/, https://www.gpcet.ac.in/research_home/, https://www.gpcet.ac.in/scholarships/, https://www.gpcet.ac.in/antiragging-affidavit/, https://www.gpcet.ac.in/digital-library/, https://www.gpcet.ac.in/innovatia/",0,2026-08-02T12:10:27+00:00,Failed,New
G. Pulla Reddy Engineering College,Andhra Pradesh,Engineering,JNTUK,https://www.gprec.ac.in/,,tpo@gprec.ac.in,,"tap@gprec.ac.in, tap@gprec.ac.in",+91-8518280719,tpo@gprec.ac.in,+91-8518270957,0,,0,,Needs Follow-up,New
G. Pullaiah College of Engineering and Technology,Andhra Pradesh,Engineering,JNTUK,https://www.gpcet.ac.in/contact-us/,,placementofficer@gpcet.ac.in,,,,placementofficer@gpcet.ac.in,+91-8639756663,0,,0,,Needs Follow-up,New
GIET,Andhra Pradesh,BCA,Various AP Universities,https://www.gietec.ac.in/,,info@giet.ac.in,,,,info@giet.ac.in,,0,,0,,Needs Follow-up,New
GITAM School of Core Engineering Engineering Courses,Andhra Pradesh,Engineering,,https://www.gitam.edu/,,,,,,,,100,https://www.gitam.edu/,0,2026-08-03T08:54:46+00:00,Failed,New
"GITAM School of Core Engineering, Visakhapatnam",Andhra Pradesh,Engineering,,https://www.gitam.edu/,,,,,"+91-9781517851, +91-8712018827, +91-9035151794",,+91-9781517851,100,"https://www.gitam.edu/about/leadership, https://www.gitam.edu/about/faculty, https://www.gitam.edu/about/accrediation, https://www.gitam.edu/, https://www.gitam.edu/gimsr/gitam-institute-of-nursing, https://www.gitam.edu/event/swechha-after-school-kuchipudi-program, https://www.gitam.edu/discipline/medicine, https://www.gitam.edu/vdc",0,2026-08-03T12:46:03+00:00,Needs Follow-up,New
"GITAM School of Science, Visakhapatnam Visakhapatnam",Andhra Pradesh,BCA,,https://www.gitam.edu/,,,+91-8912840433,,+91-9440145041,,+91-8884984000,100,"https://www.gitam.edu/career-guidance-centre, https://www.gitam.edu/, https://www.gitam.edu/bengaluru/gitam-school-of-humanities-and-social-sciences, https://www.gitam.edu/discipline/computer-science, https://www.gitam.edu/academics/programme-finder, https://www.gitam.edu/discipline/engineering, https://www.gitam.edu/discipline/law, https://www.gitam.edu/bengaluru/gitam-school-of-core-engineering",0,2026-08-02T15:30:51+00:00,Needs Follow-up,New
"GITAM University - GITAM University, Visakhapatnam",Andhra Pradesh,Engineering,,https://www.gitam.edu/,,,,,,,+91-8884984000,100,https://www.gitam.edu/,0,2026-08-02T12:24:27+00:00,Failed,New
GITAM University — Visakhapatnam,Andhra Pradesh,Engineering,"Various Deemed Universities (GITAM, KLEF, VFSTR, Vignan, Amrita)",http://www.gitam.edu,,director_cgcblr@gitam.edu,,,,director_cgcblr@gitam.edu,+91-8884984000,0,,0,,Needs Follow-up,New
GITAM Visakhapatnam,Andhra Pradesh,BCA,Various AP Universities,https://apply.gitam.edu/,,gcgc@gitam.edu,,"directorcgc_hyd@gitam.edu, director_cgcblr@gitam.edu, directorcgc_hyd@gitam.edu, director_cgcblr@gitam.edu",,gcgc@gitam.edu,+91-8884984000,0,,0,,Needs Follow-up,New
"GLA University, Noida Campus, Greater Noida",Andhra Pradesh,Engineering,,http://glauniversity.in/,,,,,,,,70,,0,2026-08-02T12:26:15+00:00,Failed,New
GMR Institute of Technology - GMRIT,Andhra Pradesh,Engineering,,https://gmrit.edu.in/,,,+91-8941252944,"ramkumar.bav@gmrit.edu.in, priyatham.b@gmrit.edu.in, vijayakrishna.r@gmrit.edu.in, ravikumar.j@gmrit.edu.in, janardhan.g@gmrit.edu.in, sharma.gvss@gmrit.edu.in, ravibabu.s@gmrit.edu.in, anilkumar.p@gmrit.edu.in, muralikrishna.pv@gmrit.edu.in, ravikumar.p@gmrit.edu.in, vinodkumar.s@gmrit.edu.in, suraj.s@gmrit.edu.in, sekhar.ch@gmrit.edu.in, surendar.g@gmrit.edu.in, harikrishna.m@gmrit.edu.in, suryanarayan.dash@gmrgroup.in, biranchinarayan.khilar@gmrgroup.in, gmritdu@gmrit.edu.in","+91-9949784378, +91-8941252798, +91-7032127525, +91-6382085962, +91-9849556438, +91-8919369592, +91-8686588448, +91-9490107093, +91-8725953524, +91-8179637829, +91-8522800544, +91-9949006418, +91-9014477773",ramkumar.bav@gmrit.edu.in,,100,"https://gmrit.edu.in/placements.php, https://gmrit.edu.in/, https://gmrit.edu.in/gallery.php?page=alumni, https://gmrit.edu.in/gallery.php?page=video-tour, https://gmrit.edu.in/gallery.php?page=infrastructure, https://gmrit.edu.in/patents.php",0,2026-08-03T12:48:40+00:00,Needs Follow-up,New
GMR Institute of Technology - GMRIT Engineering Courses,Andhra Pradesh,Engineering,,https://gmrit.edu.in/,,,,gmritdu@gmrit.edu.in,"+91-8941252944, +91-9949784378",gmritdu@gmrit.edu.in,+91-8941252944,100,https://gmrit.edu.in/,0,2026-08-03T11:46:06+00:00,Needs Follow-up,New
"GMRIT Deemed to be University, Rajam",Andhra Pradesh,Engineering,,https://gmrit.edu.in/,,,,gmrit@gmrit.edu.in,"+91-8941252944, +91-9949784378",gmrit@gmrit.edu.in,+91-8941252944,100,"https://gmrit.edu.in/, https://gmrit.edu.in/privacy-policy.php, https://gmrit.edu.in/patents.php",0,2026-08-02T12:25:21+00:00,Needs Follow-up,New
"GSS Institute of Technology, Bangalore",Karnataka,Engineering,VTU,https://gssit.org/case/furnance-replacement/,,info@gssit.org,,,+91-8065681022,info@gssit.org,+91-9157426446,0,,0,,Needs Follow-up,New
"GSSS Institute of Engineering & Technology for Women, Mysore",Karnataka,Engineering,VTU,https://gsssietw.ac.in/placements-2/about-the-placement-department/,,gsssengg@gmail.com,,,,gsssengg@gmail.com,,0,,0,,Needs Follow-up,New
GSSS Simha Subbamahalakshmi First Grade College,Karnataka,BCA,University of Mysore,https://ssfgc.ac.in/placements/,,gsssfgc@gmail.com,,,+91-8212581302,gsssfgc@gmail.com,+91-9448782121,0,,0,,Needs Follow-up,New
"Garden City University - [GCU], Bangalore",Karnataka,BCA,Bangalore University,https://www.gardencity.university/,,pro@gcu.edu.in,,,,pro@gcu.edu.in,+91-8066487600,0,,0,,Needs Follow-up,New
Gate Degree College Tirupati,Andhra Pradesh,BCA,,https://www.iisertirupati.ac.in/,,,,,,,,100,,0,2026-08-02T15:45:27+00:00,Failed,New
Gates Institute of Technology,Andhra Pradesh,Engineering,JNTU,https://gatesit.ac.in/tp-our-recruiters/,,demo@wenthemes.com,,"info@gatesit.ac.in, info@gatesit.ac.in","+91-8333987200, +91-8333987201, +91-9490082001",demo@wenthemes.com,+91-2342355678,0,,0,,Needs Follow-up,New
"Gayatri Vidya Parishad College of Engineering, Visakhapatnam",Andhra Pradesh,Engineering,,https://gvpce.ac.in/,,,,,,,,65,,0,2026-08-02T12:35:47+00:00,Failed,New
Geethanjali Institute of Science and Technology - [GIST],Andhra Pradesh,Engineering,JNTUK,https://gist.edu.in/gist/gist-home/,,placements@gist.edu.in,,,,placements@gist.edu.in,+91-8622212788,0,,0,,Needs Follow-up,New
"Ghousia College of Engineering, Ramnagar",Karnataka,Engineering,VTU,http://www.ghousiaedu.org,,secretarygiet@gmail.com,,,,secretarygiet@gmail.com,,0,,0,,Needs Follow-up,New
"Global Academy of Technology, Bangalore",Karnataka,Engineering,VTU,http://www.gat.ac.in/,,placement@gat.ac.in,,"info@gat.ac.in, admissions@gat.ac.in",,placement@gat.ac.in,+91-8028603158,0,,0,,Needs Follow-up,New
Global Institute Of Technology,Tamil Nadu,Engineering,Anna University,https://getedu.in,,info@getedu.in,,,,info@getedu.in,+91-9443132622,0,,0,,Needs Follow-up,New
Godavari Global University,Andhra Pradesh,Engineering,,https://www.godavarius.com/,,,,,,,,70,https://www.godavarius.com/,0,2026-08-03T09:17:57+00:00,Failed,New
Godavari Global University Engineering Courses,Andhra Pradesh,Engineering,,https://ggu.edu.in/,,,+91-9949993483,info@ggu.edu.in,,info@ggu.edu.in,,65,"https://ggu.edu.in/placement-cell/, https://ggu.edu.in/training-activities-2/, https://ggu.edu.in/contact-us/, https://ggu.edu.in/, https://ggu.edu.in/selected-lucas-tvs/, https://ggu.edu.in/circulars/, https://ggu.edu.in/notifications/, https://ggu.edu.in/library/",0,2026-08-03T09:50:39+00:00,Needs Follow-up,New
"Gopalan College of Engineering and Management, Bangalore",Karnataka,Engineering,VTU,https://www.gopalancolleges.com/gcem/,,gcem@gopalancolleges.com,,,,gcem@gopalancolleges.com,,0,,0,,Needs Follow-up,New
"Government College for Men, Kadapa",Andhra Pradesh,Engineering,,https://gcmkadapa.ac.in/,,,,"incharge.computers@gcmkadapa.ac.in, kadapa.jkc@gmail.com","+91-9912099620, +91-8919992326, +91-8341184784",incharge.computers@gcmkadapa.ac.in,+91-9912099620,95,"https://gcmkadapa.ac.in/about/location.php, https://gcmkadapa.ac.in/about/layout.php, https://gcmkadapa.ac.in/dept/about.php?dept=mathematics, https://gcmkadapa.ac.in/about/principal.php, https://gcmkadapa.ac.in/dept/about.php?dept=computer, https://gcmkadapa.ac.in/dept/about.php?dept=electronics, https://gcmkadapa.ac.in/index.php, https://gcmkadapa.ac.in/administration/committee.php",0,2026-08-02T13:05:36+00:00,Needs Follow-up,New
"Government College of Engineering, Erode",Tamil Nadu,Engineering,Anna University,https://www.gcee.ac.in/placementstatistics.php,,gceeprincipal@gmail.com,,,"+91-4622552448, +91-4343292511, +91-8300424565, +91-4362221112, +91-9840843096, +91-9488008656, +91-9488091653, +91-9280091825, +91-4242533579, +91-9280091827, +91-9280091828, +91-9280091829, +91-9280091830",gceeprincipal@gmail.com,+91-4622552450,0,,0,,Needs Follow-up,New
"Government Institute of Chemical Engineering, Visakhapatnam",Andhra Pradesh,Engineering,,https://gicevisakhapatnam.ac.in/,,,,gicevsp65@gmail.com,+91-8912558662,gicevsp65@gmail.com,+91-8912558662,95,"https://gicevisakhapatnam.ac.in/, https://gicevisakhapatnam.ac.in/academics, https://gicevisakhapatnam.ac.in/admissions, https://gicevisakhapatnam.ac.in/post/tech-fest, https://gicevisakhapatnam.ac.in/department/chemical-engineering",0,2026-08-02T13:08:20+00:00,Needs Follow-up,New
Guru Nanak College,Tamil Nadu,BCA,,https://www.guru.com/,,,,,,,,70,,0,2026-08-02T14:15:34+00:00,Failed,New
Guru Nanak First Grade College,Karnataka,BCA,,https://gnfgc.ac.in/,,,,,,,,95,https://gnfgc.ac.in/,0,2026-08-02T13:42:20+00:00,Failed,New
"HKBK College of Engineering, Bangalore",Karnataka,Engineering,VTU,https://www.hkbk.edu.in,,placements@hkbk.edu.in,,"admissions@hkbk.edu.in, info@hkbk.edu.in",,placements@hkbk.edu.in,,0,,0,,Needs Follow-up,New
Hansraj College,Andhra Pradesh,Engineering,,https://www.hansrajcollege.ac.in/,,,,,,,,85,,0,2026-08-03T11:54:10+00:00,Failed,New
Hindustan Aviation Academy,Andhra Pradesh,Engineering,,https://www.hindustantimes.com/,,,,,,,,70,"https://www.hindustantimes.com/photos, https://www.hindustantimes.com/cricket/233-off-91-balls-with-25-sixes-abhishek-sharma-roars-back-from-zimbabwe-failure-with-a-savage-effort-101785673055308.html, https://www.hindustantimes.com/sports/tennis, https://www.hindustantimes.com/astrology/horoscope, https://www.hindustantimes.com/bangla, https://www.hindustantimes.com/india-news/not-giving-up-vinesh-phogat-says-wrestlers-to-appeal-against-brij-bhushan-acquittal-in-sexual-harassment-case-101785743470006.html, https://www.hindustantimes.com/india-news/will-the-emperor-show-his-degree-cjps-abhijeet-dipke-throws-a-dare-after-bjp-worker-questions-his-us-education-101785744789930.html, https://www.hindustantimes.com/real-estate",0,2026-08-03T10:00:45+00:00,Failed,New
Hindustan College,Karnataka,BCA,University of Mysore,https://hindustancollege.in/,,info@hindustancollege.in,,,,info@hindustancollege.in,+91-7795737070,0,,0,,Needs Follow-up,New
Hindustan College of Arts and Science,Tamil Nadu,BCA,,https://hcaschennai.edu.in/,,,+91-9789885555,"hcaspadur@hcaschennai.edu.in, admissions@hcaschennai.edu.in","+91-4469034444, +91-9791191434, +91-9790795609, +91-4424469714, +91-7824080621",hcaspadur@hcaschennai.edu.in,,95,"https://hcaschennai.edu.in/placement, https://hcaschennai.edu.in/, https://hcaschennai.edu.in/infrastructure",0,2026-08-02T14:34:48+00:00,Needs Follow-up,New
"Hindustan Institute of Technology and Science, Chennai",Tamil Nadu,Engineering,,http://hindustan.ac.in/,,,,,,,,100,http://hindustan.ac.in/,0,2026-08-03T11:39:41+00:00,Failed,New
Hindusthan College of Arts and Science [HICAS],Tamil Nadu,BCA,,https://hicas.ac.in/,,,,info@hindusthan.net,"+91-9843133333, +91-8098333333",info@hindusthan.net,+91-9843133333,100,"https://hicas.ac.in/contact.html, https://hicas.ac.in/contact.php, https://hicas.ac.in/, https://hicas.ac.in/360-hicas-campus/index.html, https://hicas.ac.in/coe-forms.html, https://hicas.ac.in/eoa-mca.html, https://hicas.ac.in/ug-courses.html, https://hicas.ac.in/value-added-course.html",0,2026-08-02T14:52:43+00:00,Needs Follow-up,New
"Hindusthan College of Engineering and Technology, Coimbatore",Tamil Nadu,Engineering,,http://hicet.ac.in/,,,,principal@hicet.ac.in,"+91-4224440505, +91-8098333333, +91-9943915566",principal@hicet.ac.in,+91-4224440505,65,"http://hicet.ac.in/admission-contact.html, http://hicet.ac.in/, http://hicet.ac.in/deans-message.html, http://hicet.ac.in/plagiarism-tool.html, http://hicet.ac.in/admitted-students-name-list.html, http://hicet.ac.in/hand-book.html, http://hicet.ac.in/hall-seating-arrangement.html, http://hicet.ac.in/calendar.html",0,2026-08-03T10:25:00+00:00,Needs Follow-up,New
"Horizon College Marathahalli, Bangalore",Karnataka,BCA,,https://www.horizonblue.com/,,,,,,,+91-8006829090,70,"https://www.horizonblue.com/careers/, https://www.horizonblue.com/, https://www.horizonblue.com/providers, https://www.horizonblue.com/doctorfinder?ref=hb-home-footer, https://www.horizonblue.com/doctorfinder, https://www.horizonblue.com/claims-payment-policies-other-information, https://www.horizonblue.com/pharmacy-mrf, https://www.horizonblue.com/behavioralhealth/",0,2026-08-02T14:06:03+00:00,Failed,New
ICFAI Foundation for Higher Education (IFHE),Andhra Pradesh,Engineering,"Various Deemed Universities (GITAM, KLEF, VFSTR, Vignan, Amrita)",https://ifheindia.org/placements,,ssdibshyd@ibsindia.org,,"vc@ifheindia.org, vc@ifheindia.org","+91-9160191166, +91-8417226663, +91-8417226662",ssdibshyd@ibsindia.org,+91-8498053801,0,,0,,Needs Follow-up,New
IFET College of Engineering,Tamil Nadu,BCA,Anna University,https://ifet.ac.in/placements/,,placement@ifet.ac.in,,,,placement@ifet.ac.in,+91-9442136456,0,,0,,Needs Follow-up,New
IFIM Institutions,Karnataka,BCA,Bangalore University,https://ifim.edu.in/pre-placement-training-for-the-mba-2022-24-batch/,,ifimc@ifim.edu.in,,"lawadmission@ifim.edu.in, grievance.redressal@ifim.edu.in",,ifimc@ifim.edu.in,+91-9900067704,0,,0,,Needs Follow-up,New
"IIFA Multimedia, Bangalore",Karnataka,BCA,Bangalore University,https://iifamultimedia.in/placements.php,,placements@iifamultimedia.in,,"placements@iifamultimedia.in, hr@iifamultimedia.in","+91-9845006824, +91-8079653057, +91-8023241999, +91-7411801064",info@iifamultimedia.in,+91-9845632009,0,,0,,Needs Follow-up,New
IIT Madras (IITM) - Indian Institute of Technology Madras,Tamil Nadu,Engineering,,https://www.iitm.ac.in/,,,,,,,,100,https://www.iitm.ac.in/,0,2026-08-02T16:34:21+00:00,Failed,New
IIT Tirupati - Indian Institute of Technology,Andhra Pradesh,Engineering,,https://www.iitk.ac.in/,,,,,,,,65,"https://www.iitk.ac.in/, https://www.iitk.ac.in/hc/, https://www.iitk.ac.in/doad/reo-recruitment, https://www.iitk.ac.in/menu-academics, https://www.iitk.ac.in/silver-jubilee-reunion-class-of-2000, https://www.iitk.ac.in/tenders, https://www.iitk.ac.in/ariia-reports, https://www.iitk.ac.in/menu-incubation",0,2026-08-02T11:51:23+00:00,Failed,New
"ISBR College of Engineering and Technology, Bangalore",Karnataka,Engineering,,https://isbrengineering.in/,,,,,,,,70,,0,2026-08-02T10:54:15+00:00,Failed,New
IZee Business School,Karnataka,BCA,Bangalore University,https://izeeinstitutions.com/,,admin@izeeinstitutions.com,,,,admin@izeeinstitutions.com,+91-8050002929,0,,0,,Needs Follow-up,New
"IZee Business School Anekal, Bangalore",Karnataka,BCA,,https://izeeinstitutions.com/,,,+91-8050002929,"admin@izeeinstitutions.com, admin@izzeinstitutions.com, image@2x.png, image@2x.png.webp","+91-7406996982, +91-6364938767, +91-9845001214",admin@izeeinstitutions.com,,70,"https://izeeinstitutions.com/placements-izee/, https://izeeinstitutions.com/placement-snapshot-izee/, https://izeeinstitutions.com/contact-us/, https://izeeinstitutions.com/about-us-izee/, https://izeeinstitutions.com/about-us/, https://izeeinstitutions.com/, https://izeeinstitutions.com/industry-interface-izee/, https://izeeinstitutions.com/gallery-motion/",0,2026-08-02T13:58:19+00:00,Needs Follow-up,New
Indian Aviation Academy,Andhra Pradesh,Engineering,,https://www.iaa.edu.in/,,,,,,,,95,https://www.iaa.edu.in/,0,2026-08-03T10:00:19+00:00,Failed,New
Indian Institute of Information Technology Design & Manufacturing Kancheepuram,Tamil Nadu,Engineering,Anna University,https://www.iiitdm.ac.in/placements,,placement@iiitdm.ac.in,,"office@iiitdm.ac.in, office@iiitdm.ac.in",,placement@iiitdm.ac.in,+91-4427476300,0,,0,,Needs Follow-up,New
Indian Institute of Information Technology Design and Manufacturing Kurnool,Andhra Pradesh,Engineering,,https://www.iiitk.ac.in/,,,,,,office@iiitk.ac.in,+91-8518289114,65,"https://www.iiitk.ac.in/, https://www.iiitk.ac.in/placement, https://www.iiitk.ac.in/placements, https://www.iiitk.ac.in/placement-cell, https://www.iiitk.ac.in/training-and-placement, https://www.iiitk.ac.in/contact, https://www.iiitk.ac.in/contact-us",0,2026-08-02T12:33:08+00:00,Failed,New
Indian Institute of Information Technology Dharwad,Karnataka,Engineering,,https://indianculture.gov.in/,,,,,,,,70,,0,2026-08-02T10:59:03+00:00,Failed,New
Indian Institute of Information Technology Tiruchirappalli,Tamil Nadu,Engineering,Anna University,http://www.iiitt.ac.in,,office@iiitt.ac.in,,,,office@iiitt.ac.in,+91-9442045851,0,,0,,Needs Follow-up,New
